127.0.0.1 - - [14/Mar/2019:01:09:03 -0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:09:10 -0700] "GET /HttpSessionApp/ HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:09:18 -0700] "GET /HttpSessionApp/srv1?fname=AMit HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:10:05 -0700] "GET /HttpSessionApp/srv1?fname=AMit HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:10:06 -0700] "GET /HttpSessionApp/srv1?fname=AMit HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:10:09 -0700] "GET /HttpSessionApp/srv1?fname=AMit HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:10:10 -0700] "GET /HttpSessionApp/srv1?fname=AMit HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:11:16 -0700] "GET /HttpSessionApp/srv1?fname=AMit HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:11:17 -0700] "GET /HttpSessionApp/srv1?fname=AMit HTTP/1.1" 500 132
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:11:27 -0700] "GET /HttpSessionApp/srv2?lname=verma HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:11:49 -0700] "GET /HttpSessionApp/ HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:11:50 -0700] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:11:56 -0700] "GET /HttpSessionApp/srv1?fname=amit HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:12:04 -0700] "GET /HttpSessionApp/srv2;jsessionid=183D4BEC2C242E50187E3C411D3CC662?lname=verma HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:17:44 -0700] "GET /HttpSessionApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:17:50 -0700] "GET /HttpSessionApp/srv1?fname=amit HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:17:57 -0700] "GET /HttpSessionApp/srv2;jsessionid=BCB32D66875508E45D6BF90B9E8D310C?lname=kumar HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:19:24 -0700] "GET /HttpSessionApp/srv2;jsessionid=BCB32D66875508E45D6BF90B9E8D310C?lname=kumar HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:19:36 -0700] "GET /HttpSessionApp/ HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:19:43 -0700] "GET /HttpSessionApp/srv1?fname=subh HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:19:50 -0700] "GET /HttpSessionApp/srv2;jsessionid=DAB72A25E39E42AFDCEE132205172863?lname=verma HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:20:06 -0700] "GET /HttpSessionApp/srv1?fname=subh HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [14/Mar/2019:01:20:11 -0700] "GET /HttpSessionApp/srv2;jsessionid=AAE9504FF2AFBE127632862F753D0787?lname=ak HTTP/1.1" 200 9
